Date,Open,High,Low,Close
09/21/2023,"20.3000","20.4500","19.3000","19.6100"
09/20/2023,"19.9300","20.5100","19.8000","20.2900"
09/19/2023,"19.7100","20.3700","19.5900","19.9300"
09/18/2023,"18.7200","20.1400","18.6200","19.7000"
09/17/2023,"19.0700","19.1400","18.6500","18.7000"
09/16/2023,"18.7100","19.4300","18.7100","19.0500"
09/15/2023,"18.9200","19.2900","18.5600","18.7100"
09/14/2023,"18.4100","19.3100","18.3400","18.9400"
09/13/2023,"17.8800","18.4300","17.7000","18.4100"
09/12/2023,"17.6200","18.6500","17.4600","17.8800"
09/11/2023,"18.3600","18.5800","17.3700","17.6000"
09/10/2023,"19.4200","19.5300","17.8400","18.3400"
09/09/2023,"19.5800","19.6500","19.3800","19.4200"
09/08/2023,"19.7800","20.2600","19.3900","19.5800"
09/07/2023,"19.5400","19.8200","19.3200","19.7400"
09/06/2023,"20.1500","20.3600","19.1500","19.5300"
09/05/2023,"19.4300","20.5600","19.0700","20.1700"
09/04/2023,"19.5600","19.9800","19.2500","19.4200"
09/03/2023,"19.4800","19.6700","19.2400","19.5600"
09/02/2023,"19.3100","19.6800","19.1400","19.4800"
09/01/2023,"19.6200","19.9100","19.0700","19.3200"
08/31/2023,"20.8100","21.0500","19.4900","19.5900"
08/30/2023,"21.7600","21.9800","20.6100","20.8000"
08/29/2023,"20.4300","22.0800","20.1100","21.7500"
08/28/2023,"20.7200","20.8300","20.0400","20.4200"
08/27/2023,"20.3000","20.9000","20.2400","20.7200"
08/26/2023,"20.3000","20.4200","20.1900","20.3000"
08/25/2023,"20.8000","21.0700","20.0800","20.3000"
08/24/2023,"21.5800","22.0200","20.6800","20.8000"
08/23/2023,"20.2600","21.8100","19.4800","21.5800"
08/22/2023,"21.3100","21.3900","20.0000","20.2300"
08/21/2023,"21.9200","21.9200","20.4900","21.3100"
08/20/2023,"21.7700","22.0200","21.5800","21.8900"
08/19/2023,"21.2800","22.1600","21.2500","21.7700"
08/18/2023,"22.6900","22.7800","20.1600","21.2700"
08/17/2023,"22.7000","23.3900","22.4200","22.7000"
08/16/2023,"24.0400","24.0400","22.6300","22.7000"
08/15/2023,"24.8600","25.2700","23.7600","24.0200"
08/14/2023,"24.5400","25.2500","24.0600","24.8600"
08/13/2023,"24.7400","25.1200","24.4100","24.5400"
08/12/2023,"24.4300","24.8500","24.3800","24.7600"
08/11/2023,"24.6100","24.8800","24.3200","24.4300"
08/10/2023,"24.3500","24.8600","24.1000","24.6200"
08/09/2023,"24.4900","24.9800","24.0500","24.3300"
08/08/2023,"23.0100","24.7600","22.9400","24.4800"
08/07/2023,"23.2400","23.6100","22.3900","22.9700"
08/06/2023,"22.4900","23.4400","22.4900","23.2200"
08/05/2023,"22.6900","22.9500","22.2500","22.5100"
08/04/2023,"22.9300","23.5500","22.4800","22.7200"
08/03/2023,"23.1200","23.3700","22.4800","22.9600"
08/02/2023,"23.5200","24.2400","22.8200","23.1200"
08/01/2023,"23.7000","23.9700","22.9900","23.5200"
07/31/2023,"24.3000","24.7700","23.6000","23.7300"
07/30/2023,"25.3700","25.3700","23.6200","24.3000"
07/29/2023,"25.0600","25.3600","24.7500","25.3300"
07/28/2023,"24.8100","25.5200","24.5100","25.0500"
07/27/2023,"25.2500","25.6500","24.6900","24.7800"
07/26/2023,"23.2500","25.6100","23.1500","25.2600"
07/25/2023,"23.3700","23.6400","22.7900","23.2400"
07/24/2023,"24.9700","24.9700","22.8900","23.3800"
07/23/2023,"25.2900","25.3600","24.1500","24.9900"
07/22/2023,"25.7800","25.9500","25.1600","25.2900"
07/21/2023,"25.2000","25.9800","25.0900","25.7800"
07/20/2023,"26.7000","27.3600","25.0700","25.2000"
07/19/2023,"25.2500","26.9900","25.0300","26.7000"
07/18/2023,"26.3700","27.0800","24.7900","25.2900"
07/17/2023,"27.4000","28.4600","25.8000","26.3800"
07/16/2023,"27.6900","28.6600","26.6400","27.3800"
07/15/2023,"26.1500","29.0700","26.1500","27.6700"
07/14/2023,"25.5700","30.4400","25.2700","26.2100"
07/13/2023,"22.0600","26.6900","21.4500","25.5100"
07/12/2023,"22.0000","22.7500","21.7500","22.0600"
07/11/2023,"21.3800","22.3500","21.1000","21.9900"
07/10/2023,"21.2200","21.7500","20.5000","21.3500"
07/09/2023,"21.8100","22.3500","21.0600","21.2100"
07/08/2023,"21.2800","22.4500","21.2600","21.8600"
07/07/2023,"20.7300","21.5200","19.2800","21.2700"
07/06/2023,"18.7600","20.9500","18.7200","20.7400"
07/05/2023,"19.4400","19.5100","18.4500","18.7400"
07/04/2023,"19.1400","19.9300","18.8700","19.4400"
07/03/2023,"19.5200","19.7200","18.9500","19.1500"
07/02/2023,"18.3900","19.5700","18.3500","19.5000"
07/01/2023,"19.1300","19.3800","17.9300","18.3800"
06/30/2023,"17.5300","19.9200","17.1800","19.1100"
06/29/2023,"16.0000","18.2300","15.8800","17.5500"
06/28/2023,"16.6900","16.9100","15.7200","16.0200"
06/27/2023,"16.1900","16.8200","15.9500","16.6900"
06/26/2023,"16.8600","17.1200","16.1200","16.2000"
06/25/2023,"16.5800","17.3700","16.4400","16.8500"
06/24/2023,"17.5200","17.5400","16.4300","16.5700"
06/23/2023,"16.8700","17.5300","16.2100","17.4800"
06/22/2023,"17.0900","17.7200","16.6700","16.9000"
06/21/2023,"16.4400","17.2500","16.3900","17.1000"
06/20/2023,"15.9000","16.5500","15.7200","16.4500"
06/19/2023,"15.4700","15.9600","15.3000","15.9000"
06/18/2023,"15.6600","15.8300","15.4200","15.5100"
06/17/2023,"15.4000","16.1000","15.1700","15.6600"
06/16/2023,"14.7900","15.4400","14.4000","15.3800"
06/15/2023,"14.1700","14.9700","14.1300","14.7900"
06/14/2023,"14.9300","15.3500","14.1500","14.2200"
06/13/2023,"15.0400","15.9500","14.7700","14.9200"
06/12/2023,"15.9700","16.0200","14.7500","15.0100"
06/11/2023,"15.4000","16.1700","15.1600","15.9600"
06/10/2023,"17.6600","17.7400","13.2500","15.3800"
06/09/2023,"19.0200","19.3600","17.3100","17.6100"
06/08/2023,"18.8500","19.1000","18.2700","19.0200"
06/07/2023,"20.2700","20.5400","18.6100","18.8800"
06/06/2023,"20.0400","20.7000","19.2500","20.2500"
06/05/2023,"22.1500","22.2400","19.3800","20.0200"
06/04/2023,"21.0400","22.3200","20.9700","22.1700"
06/03/2023,"21.2300","21.3700","21.0000","21.0400"
06/02/2023,"20.6800","21.3800","20.3400","21.2300"
06/01/2023,"20.7400","20.9700","20.4400","20.6900"
05/31/2023,"21.3300","21.3900","20.4000","20.7100"
05/30/2023,"20.5600","21.4100","20.4600","21.3200"
05/29/2023,"20.8200","21.1800","20.2700","20.5600"
05/28/2023,"19.8300","20.9400","19.8300","20.8300"
05/27/2023,"19.4800","19.8400","19.3500","19.8400"
05/26/2023,"19.2800","19.5700","19.1000","19.4800"
05/25/2023,"19.3300","19.5500","18.8100","19.2800"
05/24/2023,"20.0800","20.1100","18.8400","19.3300"
05/23/2023,"19.6800","20.1800","19.4400","20.0800"
05/22/2023,"19.7400","20.0200","19.3200","19.6800"
05/21/2023,"20.2400","20.3900","19.7400","19.7400"
05/20/2023,"20.3300","20.3700","20.1000","20.2400"
05/19/2023,"20.3800","20.6000","20.2400","20.3400"
05/18/2023,"21.0400","21.1900","20.1300","20.3800"
05/17/2023,"20.5400","21.1400","20.4200","21.0400"
05/16/2023,"21.1500","21.1600","20.4500","20.4700"
05/15/2023,"20.9500","21.5100","20.6100","21.1300"
05/14/2023,"20.9700","21.2700","20.6300","20.9500"
05/13/2023,"20.5600","21.2900","20.5600","20.9700"
05/12/2023,"20.1500","20.6400","19.8300","20.5600"
05/11/2023,"21.2600","21.2600","19.7800","20.1500"
05/10/2023,"20.5200","21.3100","19.9400","21.2600"
05/09/2023,"20.5600","21.0000","20.4300","20.5200"
05/08/2023,"22.5200","22.5600","20.0300","20.5700"
05/07/2023,"21.9900","22.7800","21.7700","22.5200"
05/06/2023,"22.8700","23.2500","21.6400","21.9900"
05/05/2023,"21.7500","23.0700","21.6000","22.8700"
05/04/2023,"21.7000","22.5900","21.6200","21.7500"
